Company_Name,incorporation_date,Period,income ($M),num_employee,country_code,web_globalrank,has_domain,has_instargram,has_facebook,Status
BEHEYT,1968,54,,,056,,no,no,no,inactive
BIK BIJOUX IMPENS B.V.B.A.,,,,,056,,no,no,no,inactive
BOSCHMANS N.V.,1865,157,,,056,,no,no,no,inactive
"E. VAN RANST, ZONEN B.V.B.A.",1968,54,,,056,,yes,no,no,active
WOUTERS & HENDRIX N.V.,,,,,056,,no,no,no,inactive
CECY JOIAS,2018,4,,,076,,no,no,no,inactive
CRACCO INDUSTRIA E COMERCIO DE JOIAS LTDA,2000,22,,,076,,yes,no,yes,active
DE LAMOUR JOIAS LTDA,1997,25,,,076,,yes,no,yes,active
INDUSTRIA DE JOIAS DUQUE LTD.,,,,,076,,no,no,no,inactive
JOIAS CONDOR - ARTEFATOS DE METAIS CONDOR LTDA,1985,37,,,076,,yes,no,yes,active
JOIAS VIVARA LTD.,1998,24,76 - 100,1000 - 4999,076,"7,829",yes,no,yes,active
LODI PEDRAS PRECIOSAS LTDA,2018,4,,,076,,yes,no,yes,active
MAEVE METAIS,,,,,076,,yes,no,yes,active
MOMTE CARLO JOIAS,,,,,076,,no,no,no,inactive
QUARTZIAM IMP. EXP. LTDA,,,,,076,,no,no,no,inactive
"R VIANNA COMERCIO, IMPORTACAO E EXPORTACAO LTD.",,,,,076,,no,no,no,inactive
SIMON JOALHEIROS COMERCIO DE IMPORTACAO E EXPORTACAO LTD.,,,,,076,,no,no,no,inactive
SMS COMERCIO E INDUSTRIA LTDA-ME,1983,39,,,076,,no,no,no,inactive
ABRA-KAD-ABRA COLLECTION,1994,28,,,124,,no,no,no,inactive
ANTHONY OF CALGARY JEWELLERS LTD.,1982,40,,,124,,no,no,yes,active
BALTIC AMBER LTD.,,,,,124,,no,no,no,inactive
BAMIYAN SILVER LIMITED,,,,,124,"4,003,640",yes,no,no,active
BIRKS & MAYORS INC,1998,24,76 - 100,250 - 499,124,"203,431",yes,no,yes,active
CORONA JEWELLERY COMPANY,2006,16,,,124,"5,318,535",no,no,no,inactive
DIRECTIONS EAST,2015,7,,,124,"11,264,060",no,no,no,inactive
ENCHANTED DESIGNS LIMITED,,,,,124,,no,no,no,inactive
EUROPEAN DESIGN JEWELRY,,,,,124,,no,no,no,inactive
FLICA INC,1995,27,,0 - 9,124,,yes,no,yes,active
GOLD & SILVER HOUSE LTD,,,,,124,,no,no,no,inactive
HARVEY KESSLER JEWELLERY INC,1990,32,,0 - 9,124,,no,no,no,inactive
KORITE INT'L LTD,,,,,124,,no,no,no,inactive
LARUS INC.,1981,41,,,124,"11,332,026",yes,no,yes,active
MARILENA JEWELLERY IMPORTS LTD,1984,38,,,124,,no,no,no,inactive
SINDBAD INC.,1987,35,,0 - 9,124,,yes,no,yes,active
ANDREA COGGIOLA,,,,,152,,no,no,no,inactive
COMERCIAL PARINACOTA,,,,,152,,no,no,no,inactive
GUTHMANN Y LOY LYDA.,,,,,152,,no,no,no,inactive
JOYERIA FIRENSSE,,,,,152,,no,no,no,inactive
VALENTINO Y CIA. LTDA.,1983,39,,10 - 19,152,,no,no,no,inactive
ALLURE,,,,,203,,no,no,no,inactive
"ALO JEWELRY, S.R.O.",2014,8,2 - 5,100 - 249,203,"1,312,251",yes,no,yes,active
BEAD4U S.R.O.,,,,,203,,no,no,no,inactive
"BELDA A SPOL.,S.R.O.",1992,30,,,203,,yes,no,yes,active
BENET GOLD S.R.O.,1992,30,,,203,,no,no,no,inactive
BOHEMIA CRYSTAL PALACE,1998,24,,,203,,no,no,no,inactive
CABRHA DIAMONDS SRO,2011,11,,,203,,no,no,no,inactive
CARLO ROMANI SRO,2005,17,,,203,,no,no,no,inactive
CISTIN DRAHE KAMENY,,,,,203,,no,no,no,inactive
CISTIN SRO,2000,22,,,203,,no,no,no,inactive
CROWN CZ A.S.,2004,18,,,203,,no,no,no,inactive
GRANAT TURNOV,1953,69,2 - 5,20 - 49,203,"3,547,265",yes,no,no,inactive
HALADA SPOL.S.R.O,,,,,,,no,no,no,inactive
INBAR S.R.O.,1995,27,,,203,,yes,no,yes,active
ING. LEO STOKLASA,,,,,,,no,no,no,inactive
"KABRA, SPOL S.R.O.",,,,,,,no,no,no,inactive
MAHAKAM,,,,,,,no,no,no,inactive
MARKO-BIJOU S.R.O.,2004,18,,,Czech Republic,,no,no,no,active
"MINERAL METAL, SDRUZENI",,,,,,,no,no,no,inactive
"MOSNA, A.S.",2001,21,,,Czech Republic,,no,no,no,inactive
OT J&M ORLOVI,,,,,,,no,no,no,inactive
DRAKKARIA s.r.o.,2018,4,2 - 5,,Czech Republic,"644,273",yes,no,no,active
"SOLITER, A.S.",1991,31,,,Czech Republic,"6,620,459",no,no,no,inactive
A. AGENCY APS,1982,40,,,208,,no,no,no,inactive
BENDT LARSEN APS,1990,32,,0 - 9,208,,no,no,no,inactive
HEIRING A/S,2001,21,,10-19,208,,yes,no,yes,active
HEJL & CO. A/S,,,,,,,no,no,no,inactive
JEWELLEX IMPORT APS,,,,,,,no,no,no,inactive
OLE LYNGGAARD APS,1977,45,10 - 15,100 - 249,208,"750,222",yes,yes,yes,active
"PIND J. DESIGN, GULDSMEDIE",,,,,,,no,no,no,inactive
RAVFEHRN APS,,,,,,,no,no,no,inactive
SCANFORS A/S,,,,,208,,no,no,no,inactive
Farouk Ibrahim Botros Jewellery,,,,,818,,no,no,no,inactive
SAMIR NASIEF MENIAWY IMPORT & EXPORT CO.AGENCIES,,,,,818,,no,no,no,inactive
LAATUKORU OY,1991,31,16 - 20,100 - 249,246,"436,874",yes,yes,yes,active
LAPPONIA JEWELRY OY,,,,,246,,no,no,no,inactive
NAANTALIN HOPEAPAJA,2000,22,,,246,"2,076,472",no,no,no,active
OY TILLANDER AB,1926,96,,,246,"5,168,752",yes,yes,yes,active
SIROKORU OY,1980,42,,,246,,yes,yes,yes,active
TAMMEN KORU OY TAMMI JEWELLERY,2001,21,,,246,"3,023,610",yes,yes,yes,active
YLAMAAN KORUKIVI KY,,,,,246,"13,039,311",yes,yes,no,active
ALAIN BERTRANDIE AGENT COMMERCIAL,,,,,250,,no,no,no,inactive
AMBROSIA,,,,,250,,no,no,no,inactive
AUX DIAMANTS DE NAVARRE,1957,65,,0 - 9,250,,no,no,no,inactive
BELLON ET FILS SA,,,,20 - 49,250,"2,821,272",yes,no,yes,active
BIJOUX ALTESSE,1956,66,,0,250,,yes,no,yes,active
DJULA,1997,25,2 - 5,20-49,250,"1,897,457",yes,no,yes,active
EMASUR SA,,,,,250,"5,827,357",yes,yes,yes,active
ETS UL YSSE PONCET SA,,,,,250,,no,no,no,inactive
J.J. FAUR,,,,,250,,no,no,no,inactive
KORLOFF SA,1980,42,,20-49,250,,yes,yes,no,active
LES PERLES DE VENUS,1978,44,,0 - 9,250,"8,339,249",yes,no,no,
